,PassengerId,Pclass,Sex,Age,Fare,FamilySize
232,1124,3,1,1,6.4958,2
233,1125,3,1,1,7.8792,1
234,1126,1,1,1,71.2833,2
235,1127,3,1,1,7.8542,1
236,1128,1,1,1,75.25,2
237,1129,3,1,1,7.225,1
238,1130,2,0,1,13.0,3
239,1131,1,0,1,106.425,2
240,1132,1,0,1,27.7208,1
241,1133,2,0,1,30.0,3
242,1134,1,1,1,134.5,3
243,1135,3,1,1,7.8875,1
244,1136,3,1,1,23.45,4
245,1137,1,1,1,51.8625,2
246,1138,2,0,1,21.0,1
247,1139,2,1,1,32.5,3
248,1140,2,0,1,26.0,2
249,1141,3,0,1,14.4542,2
250,1142,2,0,1,27.75,4
251,1143,3,1,1,7.925,1
252,1144,1,1,1,136.7792,2
253,1145,3,1,1,9.325,1
254,1146,3,1,1,9.5,1
255,1147,3,1,1,7.55,1
256,1148,3,1,1,7.75,1
257,1149,3,1,1,8.05,1
258,1150,2,0,1,13.0,1
259,1151,3,1,1,7.775,1
260,1152,3,1,1,17.4,2
261,1153,3,1,1,7.8542,1
262,1154,2,0,1,23.0,3
263,1155,3,0,1,12.1833,3
264,1156,2,1,1,12.7375,1
265,1157,3,1,1,7.8958,1
266,1158,1,1,1,0.0,1
267,1159,3,1,1,7.55,1
268,1160,3,0,1,8.05,1
269,1161,3,1,1,8.6625,1
270,1162,1,1,1,75.2417,1
271,1163,3,1,1,7.75,1
272,1164,1,0,1,136.7792,2
273,1165,3,0,1,15.5,2
274,1166,3,1,1,7.225,1
275,1167,2,0,1,26.0,2
276,1168,2,1,1,10.5,1
277,1169,2,1,1,26.0,2
278,1170,2,1,1,21.0,2
279,1171,2,1,1,10.5,1
280,1172,3,0,1,8.6625,1
281,1173,3,1,1,13.775,3
282,1174,3,0,1,7.75,1
283,1175,3,0,1,15.2458,3
284,1176,3,0,1,20.2125,3
285,1177,3,1,1,7.25,1
286,1178,3,1,1,7.25,1
287,1179,1,1,1,82.2667,2
288,1180,3,1,1,7.2292,1
289,1181,3,1,1,8.05,1
290,1182,1,1,1,39.6,1
291,1183,3,0,1,6.95,1
292,1184,3,1,1,7.2292,1
293,1185,1,1,1,81.8583,3
294,1186,3,1,1,9.5,1
295,1187,3,1,1,7.8958,1
296,1188,2,0,1,41.5792,4
297,1189,3,1,1,21.6792,3
298,1190,1,1,1,45.5,1
299,1191,3,1,1,7.8542,1
300,1192,3,1,1,7.775,1
301,1193,2,1,1,15.0458,1
302,1194,2,1,1,21.0,2
303,1195,3,1,1,8.6625,1
304,1196,3,0,1,7.75,1
305,1197,1,0,1,26.55,3
306,1198,1,1,1,151.55,4
307,1199,3,1,1,9.35,2
308,1200,1,1,1,93.5,3
309,1201,3,0,1,14.1083,2
310,1202,3,1,1,8.6625,1
311,1203,3,1,1,7.225,1
312,1204,3,1,1,7.575,1
313,1205,3,0,1,7.75,1
314,1206,1,0,1,135.6333,1
315,1207,3,0,1,7.7333,1
316,1208,1,1,1,146.5208,2
317,1209,2,1,1,10.5,1
318,1210,3,1,1,7.8542,1
319,1211,2,1,1,31.5,3
320,1212,3,1,1,7.775,1
321,1213,3,1,1,7.2292,1
322,1214,2,1,1,13.0,1
323,1215,1,1,1,26.55,1
324,1216,1,0,1,211.3375,1
325,1217,3,1,1,7.05,1
326,1218,2,0,1,39.0,4
327,1219,1,1,1,79.2,1
328,1220,2,1,1,26.0,2
329,1221,2,1,1,13.0,1
330,1222,2,0,1,36.75,3
331,1223,1,1,1,29.7,1
332,1224,3,1,1,7.225,1
333,1225,3,0,1,15.7417,3
334,1226,3,1,1,7.8958,1
335,1227,1,1,1,26.0,1
336,1228,2,1,1,13.0,1
337,1229,3,1,1,7.2292,3
338,1230,2,1,1,31.5,1
339,1231,3,1,1,7.2292,1
340,1232,2,1,1,10.5,1
341,1233,3,1,1,7.5792,1
342,1234,3,1,1,69.55,11
343,1235,1,0,1,512.3292,2
344,1236,3,1,1,14.5,3
345,1237,3,0,1,7.65,1
346,1238,2,1,1,13.0,1
347,1239,3,0,1,7.2292,1
348,1240,2,1,1,13.5,1
349,1241,2,0,1,21.0,1
350,1242,1,0,1,63.3583,2
351,1243,2,1,1,10.5,1
352,1244,2,1,1,73.5,1
353,1245,2,1,1,65.0,4
354,1246,3,0,1,20.575,4
355,1247,1,1,1,26.0,1
356,1248,1,0,1,51.4792,3
357,1249,3,1,1,7.8792,1
358,1250,3,1,1,7.75,1
359,1251,3,0,1,15.55,2
360,1252,3,1,1,69.55,11
361,1253,2,0,1,37.0042,3
362,1254,2,0,1,21.0,1
363,1255,3,1,1,8.6625,1
364,1256,1,0,1,55.4417,2
365,1257,3,0,1,69.55,11
366,1258,3,1,1,14.4583,2
367,1259,3,0,1,39.6875,1
368,1260,1,0,1,59.4,2
369,1261,2,1,1,13.8583,1
370,1262,2,1,1,11.5,2
371,1263,1,0,1,134.5,1
372,1264,1,1,1,0.0,1
373,1265,2,1,1,13.0,1
374,1266,1,0,1,81.8583,3
375,1267,1,0,1,262.375,1
376,1268,3,0,1,8.6625,3
377,1269,2,1,1,11.5,1
378,1270,1,1,1,50.0,1
379,1271,3,1,1,31.3875,7
380,1272,3,1,1,7.75,1
381,1273,3,1,1,7.8792,1
382,1274,3,0,1,14.5,1
383,1275,3,0,1,16.1,2
384,1276,2,1,1,12.875,1
385,1277,2,0,1,65.0,4
386,1278,3,1,1,7.775,1
387,1279,2,1,1,13.0,1
388,1280,3,1,1,7.75,1
389,1281,3,1,1,21.075,5
390,1282,1,1,1,93.5,1
391,1283,1,0,1,39.4,2
392,1284,3,1,1,20.25,3
393,1285,2,1,1,10.5,1
394,1286,3,1,1,22.025,5
395,1287,1,0,1,60.0,2
396,1288,3,1,1,7.25,1
397,1289,1,0,1,79.2,3
398,1290,3,1,1,7.775,1
399,1291,3,1,1,7.7333,1
400,1292,1,0,1,164.8667,1
401,1293,2,1,1,21.0,2
402,1294,1,0,1,59.4,2
403,1295,1,1,1,47.1,1
404,1296,1,1,1,27.7208,2
405,1297,2,1,1,13.8625,1
406,1298,2,1,1,10.5,2
407,1299,1,1,1,211.5,3
408,1300,3,0,1,7.7208,1
409,1301,3,0,1,13.775,3
410,1302,3,0,1,7.75,1
411,1303,1,0,1,90.0,2
412,1304,3,0,1,7.775,1
413,1305,3,1,1,8.05,1
414,1306,1,0,1,108.9,1
415,1307,3,1,1,7.25,1
416,1308,3,1,1,8.05,1
417,1309,3,1,1,22.3583,3
